TIMESTAMP,LE_F_MDS,LE_F_MDS_QC,SW_IN_F,SW_IN_F_QC,TA_F,TA_F_QC,WS_F,WS_F_QC,VPD_F,VPD_F_QC,P_F,P_F_QC,PA_F,PA_F_QC,SITE_ID,IGBP,LATITUDE,LONGITUDE,SITE_AGE
19960101,8.04737,0,10.191,1,-6.317,1,2.655,0,0.3,1,0.099,0,96.484,0,DE-Tha,ENF,50.96256,13.56515,118
19960102,11.0702,0,6.641,1,-8.194,1,2.04,0,0.288,1,0.301,0,96.908,0,DE-Tha,ENF,50.96256,13.56515,118
19960103,14.7321,0,5.962,1,-6.493,1,2.058,0,0.301,1,1.183,0,97.854,0,DE-Tha,ENF,50.96256,13.56515,118
19960104,8.04737,0,14.083,1,-5.817,1,1.531,0,0.318,1,0.42,0,97.921,0,DE-Tha,ENF,50.96256,13.56515,118
19960105,11.0702,0,60.965,0.916667,-7.153,1,3.054,0,0.329,1,0,0,97.179,0,DE-Tha,ENF,50.96256,13.56515,118
19960106,14.7321,0,23.921,1,-5.468,1,3.968,0,0.308,1,0,0,96.576,0,DE-Tha,ENF,50.96256,13.56515,118
19960107,8.04737,0,25.248,1,-0.947,1,2.824,0,0.605,1,0.142,0,96.311,0,DE-Tha,ENF,50.96256,13.56515,118
19960108,11.0702,0,19.177,1,1.896,1,1.663,0,0.678,1,2.238,0,97.218,0,DE-Tha,ENF,50.96256,13.56515,118
19960109,14.7321,0,53.748,1,1.084,1,2.275,0,0.998,1,0,0,97.183,0,DE-Tha,ENF,50.96256,13.56515,118
19960110,8.04737,0,39.912,1,0.359,1,2.027,0,1.124,1,0,0,97.025,0,DE-Tha,ENF,50.96256,13.56515,118
19960111,11.0702,0,32.843,1,2.857,1,2.16,0,2.326,1,0.216,0,96.772,0,DE-Tha,ENF,50.96256,13.56515,118
19960112,14.7321,0,56.924,1,3.316,1,1.984,0,2.173,1,0.353,0,96.678,0,DE-Tha,ENF,50.96256,13.56515,118
19960113,8.04737,0,52.935,1,2.668,1,1.69,0,1.673,1,0,0,97.483,0,DE-Tha,ENF,50.96256,13.56515,118
19960114,11.0702,0,50.838,1,1.5,1,1.878,0,1.621,1,0,0,98.203,0,DE-Tha,ENF,50.96256,13.56515,118
