SITE_ID,IGBP,LATITUDE,LONGITUDE,SITE_AGE
AU-Cum,EBF,-33.61518,150.72362,300
AU-Rob,EBF,-17.1175,145.6301,198
AU-Tum,EBF,-35.6566,148.1517,83
AU-Wom,EBF,-37.4222,144.0944,32
BE-Bra,MF,51.30761,4.51984,78
BE-Vie,MF,50.30493,5.99812,94
BR-Sa1,EBF,-2.85667,-54.9588900,300
BR-Sa3,EBF,-3.01803,-54.9714400,2
CA-Gro,MF,48.2167,-82.1556,78
CA-Man,ENF,55.8796200,-98.4808100,161
CA-NS1,ENF,55.8791700,-98.4838900,154
CA-NS2,ENF,55.9058300,-98.5247200,73
CA-NS3,ENF,55.9116700,-98.3822200,39
CA-NS5,ENF,55.8630600,-98.4850,23
CA-NS6,OSH,55.9166700,-98.9644400,14
CA-NS7,OSH,56.6358300,-99.9483300,6
CA-Oas,DBF,53.6288900,-106.1977900,80
CA-Obs,ENF,53.9871700,-105.1177900,112
CA-Qfo,ENF,49.6925,-74.3420600,102
CA-TP1,ENF,42.66093611,-80.55951944,9
CA-TP3,ENF,42.70681111,-80.34831389,37
CA-TP4,ENF,42.710161,-80.357376,70
CA-TPD,DBF,42.635328,-80.557731,98
CH-Dav,ENF,46.81533,9.85591,222
CH-Lae,MF,47.47833,8.36439,184
CN-Cha,MF,42.4025,128.0958,300
CN-Din,EBF,23.1733,112.5361,96
CN-Qia,ENF,26.7414,115.0581,19
CZ-BK1,ENF,49.50208,18.53688,31
DE-Hai,DBF,51.07921,10.45217,254
DE-Lkb,ENF,49.09962,13.30467,2
DE-Lnf,DBF,51.32822,10.3678,117
DE-Obe,ENF,50.78666,13.72129,76
DE-Tha,ENF,50.96256,13.56515,118
DK-Sor,DBF,55.48587,11.64464,85
FI-Hyy,ENF,61.84741,24.29477,46
FI-Sod,ENF,67.36239,26.63859,83
FR-Fon,DBF,48.47636,2.7801,161
FR-LBr,ENF,44.71711,-0.7693,34
FR-Pue,EBF,43.7413,3.5957,64
GF-Guy,EBF,5.27877,-52.92486,300
IT-Col,DBF,41.84936,13.58814,180
IT-Cp2,EBF,41.70427,12.35729,63
IT-Cpz,EBF,41.70525,12.37611,56
IT-La2,ENF,45.9542,11.2853,89
IT-PT1,DBF,45.20087,9.06104,13
IT-Ren,ENF,46.58686,11.43369,188
IT-Ro1,DBF,42.40812,11.93001,10
IT-Ro2,DBF,42.39026,11.92093,19
IT-SR2,ENF,43.73202,10.29091,64
IT-SRo,ENF,43.72786,10.28444,54
MY-PSO,EBF,2.9730,102.3062,106
NL-Loo,ENF,52.16658,5.74356,106
PA-SPn,DBF,9.31814,-79.6346,7
RU-Fyo,ENF,56.46153,32.92208,236
US-Blo,ENF,38.8953,-120.6328,13
US-GBT,ENF,41.36579,-106.2397,176
US-GLE,ENF,41.36653,-106.2399,184
US-Ha1,DBF,42.5378,-72.1715,96
US-Me2,ENF,44.4523,-121.5574,94
US-Me3,ENF,44.3154,-121.6078,20
US-Me5,ENF,44.4371900,-121.5667600,24
US-Me6,ENF,44.3232842,-121.6078,22
US-MMS,DBF,39.3232,-86.4131,95
US-NR1,ENF,40.0329,-105.5464,110
US-Oho,DBF,41.5545,-83.8438,50
US-PFa,MF,45.9459,-90.2723,150
US-Prr,ENF,65.12367,-147.48756,98
US-Syv,MF,46.2420,-89.3477,300
US-UMB,DBF,45.5598,-84.7138,93
US-UMd,DBF,45.5625,-84.6975,90
US-WCr,DBF,45.8059,-90.0799,96
ZM-Mon,DBF,-15.4391,23.2525,88
