wp, activity, start_date, end_date
Part 1: Project Formation, Literature Review and Project Plan, 2026-04-22, 2026-05-15
Part 1: Project Formation, Oral Presentation, 2026-05-15, 2026-05-26
Part 2: Analysis, FLUXNET Data Acquisition, 2026-05-26, 2026-06-05
Part 2: Analysis, Satellite Data Acquisition, 2026-05-26, 2026-06-05
Part 2: Analysis, Site Selection and Filtering, 2026-06-05, 2026-06-19
Part 2: Analysis, Data Exploration and QC, 2026-06-05, 2026-06-26
Part 2: Analysis, Feature Engineering, 2026-06-26, 2026-07-10
Part 2: Analysis, Small Scale Test/ML Training, 2026-06-26, 2026-07-03
Part 2: Analysis, Full ML Training and Evaluation, 2026-07-03, 2026-07-24
Part 2: Analysis, Statistical Analysis and Visualisations, 2026-07-17, 2026-07-31
Part 3: Write Up, Draft Full Dissertation, 2026-08-01, 2026-08-28
Part 3: Write Up, Final Review and Submission, 2026-08-28, 2026-09-04

