wp, activity, start_date, end_date
Part 1: Project Formation, Literature Review and Project Plan, 2026-04-22, 2026-05-15
Part 1: Project Formation, Oral Presentation, 2026-05-15, 2026-05-26
Part 2: Data and Modelling, FLUXNET Data Acquisition, 2026-05-26, 2026-06-12
Part 2: Data and Modelling, Satellite Data Acquisition, 2026-05-26, 2026-06-12
Part 2: Data and Modelling, Site Selection and Filtering, 2026-06-05, 2026-06-19
Part 2: Data and Modelling, Data Exploration and QC, 2026-06-05, 2026-06-19
Part 2: Data and Modelling, Feature Engineering, 2026-06-19, 2026-07-10
Part 2: Data and Modelling, ML Training and Evaluation, 2026-06-26, 2026-07-31
Part 2: Data and Modelling, Model/Data Insights, 2026-07-10, 2026-07-31
Part 3: Write Up, Draft Methods (during training), 2026-06-26, 2026-07-31
Part 3: Write Up, Draft Full Dissertation, 2026-08-01, 2026-08-28
Part 3: Write Up, Review and Submission, 2026-08-28, 2026-09-04
